state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
NV  ,Tb,Tb,Tb;0,NVTb;0,0,,Basalt flows,Late Miocene to Middle Miocene,BASALT FLOWS,,,NV001,basalt,,,NV001 NV002 ,
NV  ,Cc,CAc,CAc;0,NVCAc;0,0,,"Limestone and dolomite, locally thick sequences of shale and siltstone",Late Cambrian to Middle Cambrian,"LIMESTONE AND DOLOMITE, LOCALLY THICK SEQUENCES OF SHALE AND SILTSTONE-Includes units such as Pioche Shale, Eldorado Dolomite, Geddes Limestone, Secret Canyon Shale, Hamburg Dolomite, Dunderberg Shale, and Windfall Formation of northern Nevada and Carrara, Bonanza King, and Nopah Formations of southern Nevada.","Highland Peak Formation (same as Bonanza King Formation?), Chisholm Formation, Lyndon Limestone, Pole Canyon Limestone (same as Eldorado Dolomite), Lincoln Peak Formation (also called the Monte Neve Formation and correlative with the Hamburg Dolomite and Secret Canyon Shale), Johns Wash Limestone, Notch Peak Limestone, Pioche Shale, Geddes Limestone, Hamburg Dolomite, Dunderberg Shale, Windfall Formation, Carrara Formation, Bonanza King Formation, Nopah Formation","The name Bonanza King Formation is often used for the entire section below the Dunderberg Shale; the formation ranges from 2000 to 4,600 feet thick. In general, the carbonate section thickens from east to west (Longwell and others, 1965). The Carrara Formation ranges from 1,400 to 1,960 feet thick (Cornwall, 1972). The Highland Peak Formation ranges from about 3,000 to at least 6,300 feet thick (Tschanz and Pampeyan, 1970). The Highland Peak Formation may be another name for the Bonanza King Formation.",NV001,limestone,dolostone (dolomite),shale; siltstone; sandstone; chert; conglomerate,NV001 NV002 NV003 NV006 NV007 NV010 NV011 ,
NV  ,Tba,Tba,Tba;0,NVTba;0,0,,Andesite and basalt flows,Early Miocene to Early Pliocene,"ANDESITE AND BASALT FLOWS-Mostly in about 17 to about 6 m.y. age range. In Humboldt County, locally includes rocks as old as 21 m.y. May include rocks younger than 6 m.y. in places",,,NV001,basalt,andesite,shoshonite,NV001 NV002 ,
NV  ,Tgr,Tgr,Tgr;0,NVTgr;0,0,,Granitic rocks,Paleocene to Late Miocene,GRANITIC ROCKS-Mostly quartz monzonite and granodiorite,,Granodiorite is dominant in northern Nevada while quartz monzonite is dominant in southern Nevada.,NV001,granodiorite,quartz monzonite,granite; monzonite,NV001 NV007 NV008 NV011 NV012 NV013 NV020 ,
NV  ,Ths,Ths,Ths;0,NVThs;0,0,,Horse Spring Formation,Late Oligocene to Middle Miocene,"HORSE SPRING FORMATION-Tuffaceous sedimentary rocks, southern Nevada","Horse Spring Formation, Thumb Formation, Overton Conglomerate",,NV001,limestone,sandstone,dolostone (dolomite); mudstone; siltstone; evaporite; tuff; lava flow; felsic volcanic rock; intermediate volcanic rock; mafic volcanic rock,NV001 NV002 ,
NV  ,Ch,CAh,CAh;0,NVCAh;0,0,,Harmony Formation,Late Cambrian,"HARMONY FORMATION (Upper Cambrian)-Feldspathic and arkosic sandstone and minor amounts of shale, limestone, and chert.",Paradise Valley Chert,"Stewart and McKee, 1977, describe the Harmony Formation in northern Lander County as mostly feldspathic sandstone and arkose with shale and calcareous shale and small amounts of pebbly sandstone and limestone. Willden, 1964, describes the Harmony Formation in southern Humboldt County as feldspathic graywacke and feldspathic quartzite with lesser amounts of sandy limestone, calcareous graywacke, feldspathic pebble conglomerate, and shale, as well as altered volcanic rocks near the Hot Springs Range (altered diabase and greenstone). These volcanic rocks are so rare in the unit as a whole that I have chosen not to include them in the lithology coding. The Paradise Valley Chert is 300 to 500 feet thick with no exposed base; the Harmony Formation is hesitantly estimated at 4000 to 5000+ feet thick (Willden, 1964). The Harmony Formation has been assigned to the transitional assemblage by other workers, but is thrust over the siliceous assemblage (Stewart and McKee, 1977). ",NV001,sandstone,shale,limestone; chert; conglomerate,NV001 NV002 NV004 NV005 NV012 NV018 ,
NV  ,Csc,CAsc,CAsc;0,NVCAsc;0,0,,Scott Canyon Formation,Early Cambrian to Middle Cambrian,"SCOTT CANYON FORMATION (Lower or Middle Cambrian)-Chert, shale, greenstone, and sparse limestone and quartzite. Southeast Humboldt County and northwest Lander County.",,"The Scott Canyon Formation is about 5,000 feet thick (Stewart and McKee, 1977).This unit may be better included in the Transitional assemblage because this province contains lithologically similar archeocyanid and trilobite-bearing limestone (Stewart, 1980). Does not appear to outcrop in Humboldt County despite description (in either the state map or the county map).",NV001,chert,shale,greenstone; limestone; quartzite; sandstone,NV001 NV002 NV004 NV005 ,
NV  ,Css,CAss,CAss;0,NVCAss;0,0,,Sandstone and quartzite,Cambrian,SANDSTONE AND QUARTZITE-Includes Tapeats Sandstone and related rocks. Rests on Precambrian metamorphic rocks.,,"The outcrops just north of the Clark County line are similar in lithology to the Prospect Mountain Quartzite (see unit NVCZq) and some geologists have referred to the sandstone unit in Clark County as such; ""Tapeats Sandstone"" was borrowed from a similar unit on the Colorado Plateau. In Nevada, this unit is 150-500 feet thick (Longwell and others, 1965).",NV001,sandstone,quartzite,shale,NV001 NV002 NV003 ,
NV  ,Ct,CAt,CAt;0,NVCAt;0,0,,Shale and thin-bedded or laminated limestone; also thinly interbedded limestone and chert,Middle Cambrian to Late Cambrian,SHALE AND THIN-BEDDED OR LAMINATED LIMESTONE; ALSO THINLY INTERBEDDED LIMESTONE AND CHERT-Includes units such as Preble and Emigrant Formations,"Preble Formation, Emigrant Formation, Crane Canyon Sequence (in Lander County), Shwin Formation, Swarbrick Formation, Tybo (Dunderberg) Shale (in part), Hales Limestone (in part), Broad Canyon Formation (in small part), Tennessee Mountain Formation (in part) ","Shwin Formation contains the only volcanic rocks in the Middle and Upper Cambrian sequence (Stewart, 1980); these rocks include greenstone and phyllite derived from dolerite (diabase) (Stewart and McKee, 1977). The Tybo Shale has been reassigned to the Dunderberg Shale and the term abandoned (Kleinhampl and Ziony, 1985); the shale is mapped within this unit although the rest of the Dunderberg Shale is mapped within unit NVCc. Exposed sections of the Preble indicate 5,000 feet thickness but geologists have estimated 12,000 to 15,000 feet (Willden, 1964). The Emigrant Formation is at least 1,500 to 2,000 feet (Albers and Stewart, 1972). The Crane Canyon Formation is considered to be several thousand feet thick (Stewart and McKee, 1977). In Elko County, includes small outcrop of undifferentiated strata mapped primarily in NVCc (Coats, 1987).",NV001,shale,limestone,chert; siltstone; quartzite; diorite; conglomerate,NV001 NV002 NV004 NV005 NV009 NV013 ,
NV  ,CZq,CAZq,CAZq;0,NVCAZq;0,0,,"Quartzite and minor amounts of conglomerate, phyllitic siltstone, limestone, and dolomite",Late Proterozoic to Early Cambrian,"QUARTZITE AND MINOR AMOUNTS OF CONGLOMERATE, PHYLLITIC SILTSTONE, LIMESTONE, AND DOLOMITE-Includes Prospect Mountain Quartzite, Osgood Mountain Quartzite, and Gold Hill Formation in northern Nevada, and Stirling Quartzite, Wood Canyon Formation, and Zabriskie Quartzite in southern Nevada.",Stella Lake Quartzite (part of McCoy Creek Group),"Estimated range of thickness for the Prospect Mountain Quartzite in Elko County is 1,500 to 4,000 feet (Coats, 1987); in White Pine County, thickness is estimated at 4,500 feet (Hose and Blake, 1976). Estimated exposed thickness for Osgood Mountain Quartzite is 5,000 feet (Willden, 1964). In stratigraphic order, oldest to youngest, the Stirling Quartzite is almost complete at 5,300 feet thick; the Wood Canyon Formation is 2,100 feet thick; the Zabriskie Formation is 1,150 feet thick (Cornwall, 1972). The Daylight Formation and the Corkscrew Formation of Bare Mountain have been correlated with the Wood Canyon Formation and the Zabriskie Quartzite, respectively and both terms abandoned (Cornwall, 1972). ",NV001,quartzite,siltstone,dolostone (dolomite); limestone; phyllite; shale; conglomerate; sandstone,NV001 NV002 NV003 NV005 NV006 NV007 NV008 NV010 NV011 NV013 ,
NV  ,CZs,CAZs,CAZs;0,NVCAZs;0,0,,"Phyllitc siltstone, quartzite, and lesser amounts of limestone and dolomite",Late Proterozoic to Early Cambrian,"PHYLLITIC SILTSTONE, QUARTZITE, AND LESSER AMOUNTS OF LIMESTONE AND DOLOMITE-Includes Reed Dolomite; Deep Spring, Campito, Poleta, Harkless, and Saline Valley Formations; and Mule Spring Limestone",,"In stratigraphic order, oldest to youngest: the Reed Dolomite is 1,560 feet thick; the Deep Spring Formation is 1,500 feet thick; the Campito Formation is 2,500(?) feet thick; the Poleta Formation is 1000+ feet thick; the Harkless Formation (including Saline Valley Formation at the top) is 3,500 feet thick; the Mule Spring Limestone is 400-500 feet thick (main part of Esmeralda County, Albers and Stewart, 1972). Often lithologically similar, these formations can be separated by their respective fossils.",NV001,siltstone,limestone,dolostone (dolomite); quartzite; sandstone,NV001 NV009 ,
NV  ,Tbg,Tbg,Tbg;0,NVTbg;0,0,,Banbury Formation,Middle Miocene to Late Miocene,"BANBURY FORMATION-Basalt, gravel, and tuffaceous sediments locally. Northeast Humboldt County and northwest Elko County",Banbury Formation,,NV001,basalt,gravel,sandstone,NV001 NV002 ,
NV  ,Dc,Dc,Dc;0,NVDc;0,0,,"Dolomite, limestone, and minor amounts of sandstone and quartzite",Devonian,"DOLOMITE, LIMESTONE, AND MINOR AMOUNTS OF SANDSTONE AND QUARTZITE-Includes units such as Sevy and Simonson Dolomites, Guilmette and Nevada Formations, and Devils Gate Limestone.","Wenban Limestone (equivalent to the Nevada Formation and Devils Gate Limestone), Pilot Shale (in part), Rabbit Hill Limestone, McMonnigal Limestone, Tor Limestone, Sultan Limestone, Muddy Peak Limestone","The Nevada Formation has been divided into other formations by some geologists and the term is now considered obsolete by the U.S. Geological Survey (Coats, 1987). Other geologists consider the Nevada Formation to be equivalent to the Sevy Dolomite and the Simonson Dolomite (Hose and Blake, 1976) and Guilmette Formation (Kleinhampl and Ziony, 1985). About 65-75% of the Simonson is dolomite while the remaining portion is orthoquartzite and limestone; the thickness ranges from 500 to 1800 feet. The Guilmette is almost 70% limestone while the remaining portion is mostly dolostone; the thickness is 1050-2500 feet thick. The Sevy Formation is 1,300 feet thick and primarily dolostone with some cherty beds and some sandstone (Coats, 1987, Hose and Blake, 1976). In Eureka, the Devonian strata (Rabbit Hill Limestone, Nevada Formation, Devil's Gate Limestone, and Pilot Shale) is primarily limestone with lesser dolomite, shale, and sandstone. Note that the proportions of dolostone to limestone in the Nevada Formation vary east to west (Roberts and others, 1967). The proportions of dolostone to limestone in the Guilmette Formation appear to vary geographically as well with increasing limestone westward and increasing dolostone east and southward (Kleinhampl and Ziony, 1985). The Sultan and Muddy Peak Limestone occur in Clark County of which the upper part is mostly limestone and the lower is mostly dolostone (Longwell and others, 1965). ",NV001,dolostone (dolomite),limestone,sandstone; quartzite; conglomerate; shale; chert,NV001 NV002 NV003 NV007 NV008 NV010 NV011 NV013 ,
NV  ,DCc,DCAc,DCAc;0,NVDCAc;0,0,,Dolomite and limestone,Middle Cambrian to Devonian,DOLOMITE AND LIMESTONE (Lower Paleozoic),,"Limited to outcrops in Lincoln and Elko Counties. In Lincoln County, includes undifferentiated dolostone and limestone, of Cambrian through Devonian age (Tschanz and Pampeyan, 1970). In Elko County, includes dolomite marble and lesser calcite marble as well as minor recrystallized chert and quartzite, questionably of Cambrian, Ordovician, Silurian, or Devonian age (Coats, 1987).",NV001,marble,dolostone (dolomite),limestone; chert; quartzite,NV001 NV008 NV011 ,
NV  ,DCsv,DCAsv,DCAsv;0,NVDCAsv;0,0,,"Chert, shale, argillite, siltstone, quartzite, and greenstone",Cambrian to Devonian,"CHERT, SHALE, ARGILLITE, SILTSTONE, QUARTZITE, AND GREENSTONE-Undivided siliceous assemblage. Mostly Ordovician",,"Limited to Snake Mountains of Elko County where chert, orthoquartzite, and limestone in the north grade to chert conglomerate and siltstone in the south, relative amounts unreported (Coats, 1987). No greenstone mentioned. Maybe Valmy and Vinini Formations.",NV001,chert,quartzite,limestone; siltstone; conglomerate; shale,NV001 NV002 NV008 ,
NV  ,Ds,Ds,Ds;0,NVDs;0,0,,"Shale, siliceous siltstone, chert, and minor amounts of limestone",Devonian,"SHALE, SILICEOUS SILTSTONE, CHERT, AND MINOR AMOUNTS OF LIMESTONE-Includes Cockalorum Wash Formation of northern Nye County and Woodruff Formation and unnamed rocks in Elko County",,"The Cockalorum Wash Formation is 1,200 feet thick. Both the Cockalorum Wash and Woodruff Formations host eurypetid claws (Kleinhampl and Ziony, 1985). The Cockalorum Wash type section has 600 feet of shale, platy siltstone, and sandstone with limestone lenses and interbeds and 500 feet of limestone (Kleinhampl and Ziony, 1985); the Woodruff Formation in southern Elko County is 500 to 600 feet of shale overlain by 700 to 800 feet of chert with limestone occurring as a minor constituent; total thickness throughout the County can be over 3000 feet (Coats, 1987).",NV001,shale,chert,limestone; siltstone; dolostone (dolomite); sandstone,NV001 NV002 NV006 NV008 ,
NV  ,Dsl,Dsl,Dsl;0,NVDsl;0,0,,Slaven Chert,Devonian,"SLAVEN CHERT-Chert and sparse limy sandstone, siltstone, and limestone. Lander County",,"Outcrops in northern Nye County possibly correlative with Slaven Chert; includes ""notable baritic zones"" (Kleinhampl and Ziony, 1985). Estimated thickness of the Slaven Chert is between 2000 to 4000 feet (Stewart and McKee, 1977).",NV001,chert,shale,siltstone; sandstone; limestone,NV001 NV002 NV004 NV013 ,
NV  ,Dt,Dt,Dt;0,NVDt;0,0,,"Argillaceous limestone, chert, and shale",Devonian,"ARGILLACEOUS LIMESTONE, CHERT, AND SHALE-Elko and Eureka Counties",,"Coats, 1987, includes calcareous siltstone in Elko County. In Eureka County, the few occurances include sandy and calcareous shale and sandstone. In general, these Devonian rocks are considered transitional because they contain more limestone and less chert than rocks of the siliceous western assemblage (Roberts and others, 1967).",NV001,limestone,shale,chert; siltstone; sandstone,NV001 NV002 NV008 NV010 NV015 ,
NV  ,Jd,Jd,Jd;0,NVJd;0,0,,Dunlap Formation,Early Jurassic to Middle Jurassic,"DUNLAP FORMATION (Lower and Middle Jurassic)-Conglomerate, sandstone, greenstone, felsite, and tuff. Locally contemporaneous with folding and thrusting. Mineral County and adjacent parts of Esmeralda and Nye Counties",,"The thickness of the Dunlap Formation ranges from 3,000 to 5,000 feet thick.",NV001,sandstone,conglomerate,volcanic rock (aphanitic); limestone; siltstone; shale,NV001 NV009 NV013 NV016 ,
NV  ,Jgb,Jgb,Jgb;0,NVJgb;0,0,,Gabbroic complex,Early Jurassic to Middle Jurassic,"GABBROIC COMPLEX (Lower and Middle Jurassic)-Includes gabbro, basalt, and synorogenic quartz sandstone (Boyer Ranch Formation). Churchill and Pershing Counties",,"The gabbro intrudes the quartz arenite and comagmatic basaltic rocks; intrusion and extrusion is likely contemporaneous with thrusting of the quartz arenite. The volcanic section is at least 1,700 feet thick (Willden and Speed, 1974); the thickness of the quartz arenite is 500 feet, of which the bottom 125 feet is dolomite conglomerate and 25 feet of limestone (Boyer Ranch Formation of Johnson, 1977). I estimate the ratio of gabbro to mafic volcanic rock to be around 2:1. ",NV001,gabbro,basalt,arenite; conglomerate; limestone,NV001 NV012 NV020 ,
NV  ,JPu,JPu,JPu;0,NVJPu;0,0,,"Volcanogenic sedimentary rocks, tuff, andesite and felsitic flows, and carbonate rocks",Permian to Jurassic (?),"VOLCANOGENIC SEDIMENTARY ROCKS, TUFF, ANDESITIC AND FELSITIC FLOWS, AND CARBONATE ROCKS-Age uncertain. Mineral, Esmeralda, and Northwest Nye Counties",Excelsior Formation (in Paradise Range and part of Pilot and Excelsior Mountains); Pablo Formation (in Paradise Range); Dunlap Formation (in part of Pilot and Excelsior Mountains),No outcrop in Esmeralda County. Outcrops part of stratigraphic units listed above in select areas. Vitaliano and Callaghan (1963) report large areas of greenstone and lesser amounts intermediate to silicic volcanic rocks in Paradise Peak Quadrangle.,NV001,greenstone ,sandstone,volcanic rock (aphanitic); limestone; siltstone; conglomerate,NV001 NV013 NV016 NV022 ,
NV  ,JTRa,JTRa,JTRa;0,NVJTRa;0,0,,Aztec Sandstone,Early Jurassic,AZTEC SANDSTONE (Triassic? And Jurassic)-Friable fine- to medium-grained sandstone with conspicuous large-scale cross strata; considered eolian. Age based on correlation with Navajo Sandstone,,"Entirely in Clark County. The maximum exposed thickness of the unit is 2,000 to 2,500 feet (Longwell and others, 1965).",NV001,sandstone,,,NV001 NV003 ,
NV  ,Tbr,Tbr,Tbr;0,NVTbr;0,0,,Breccia,Middle Eocene to Early Pliocene,"BRECCIA-Volcanic, thrust, and jasperoid breccia and landslide megabreccia",,Neither the SGMC nor the Lithmap dictionaries permit appropriate characterization of this unit.,NV001,volcanic breccia (agglomerate),tectonite,landslide,NV001 ,
NV  ,JTRs,JTRs,JTRs;0,NVJTRs;0,0,,"Shale, mudstone, siltstone, sandstone, and carbonate rock; sparse volcanic rock",Late Triassic to Early Jurassic,"SHALE, MUDSTONE, SILTSTONE, SANDSTONE, AND CARBONATE ROCK; SPARSE VOLCANIC ROCK (Upper Triassic and Lower Jurassic)-Includes Auld Lang Syne Group, Nightingale sequence of Bonham (1969), and Gabbs and Sunrise Formations","Auld Lang Syne Group, Nightingale Sequence, Gabbs Formation, Sunrise Formation, Grass Valley Formation, Osobb Formation, Dun Glen Formation, Winnemucca Formation, Raspberry Formation","In Humboldt and Pershing Counties, good portions of this unit have been metamorphosed to argillite, phyllite, quartzite, slate, and hornfels, schist, and gneissic rocks near intrusions (Willden, 1964, Johnson, 1977). The Nightingale Formation also includes some marble (Bonham, 1969). In Churchill County, this unit ranges from 5,000 to 20,000 feet thick (Willden and Speed, 1974); of the Auld Lang Syne Group, the Raspberry Formation ranges from 3,000 to 8,000 feet thick, the Winnemucca Formation ranges from 1,000 to 3,000 feet thick, the Grass Valley Formation ranges from 300 to 2,000 feet thick, the Dun Glen Formation is 1,150 feet thick, and the Osobb Formation is 1,800 feet thick (Willden, 1964, Johnson, 1977). ",NV001,claystone,shale,sandstone; siltstone; carbonate; volcanic rock (aphanitic); conglomerate,NV001 NV005 NV012 NV013 NV016 NV017 NV020 NV028 ,
NV  ,JTRsv,JTRsv,JTRsv;0,NVJTRsv;0,0,,"Shale, sandstone, volcanogenic clastic rocks, andesite, rhyolite, and locally thick carbonate units",Late Triassic to Early Cretaceous,"SHALE, SANDSTONE, VOLCANOGENIC CLASTIC ROCKS, ANDESITE, RHYOLITE, AND LOCALLY THICK CARBONATE UNITS-Undivided sequence locally containing recognizable equivalents of the Luning and Dunlap Formations",Peavine Sequence; Excelsior Formation (in part); Pine Nut Range sequence (Oreana Peak Formation; Gardnerville Formation; Preachers Formation; Veta Grande Formation; Gold Bug Formation; Double Spring Formation); Luning Formation (in small part),"The Excelsior Formation makes up most of this unit in Mineral County; minimum thickness is 10,000 feet (Ross, 1961). Most of the Peavine Sequence is metamorphosed, though greenschist facies upto amphibolite facies near intrusive contacts (Bonham, 1969); most of this unit in Lyon, Douglas and Ormsby Counties is at least partially metamorphosed as well (Moore, 1969). ",NV001,rhyolite,andesite,dacite; trachyte; argillite; shale; sandstone; siltstone; carbonate; basalt,NV001 NV016 NV017 NV019 NV020 NV028 ,
NV  ,Jv,Jv,Jv;0,NVJv;0,0,,"Volcanic sandstone, felsic ash-flow tuffs, rhyolite, and rhyodacite flows",Middle Jurassic to Early Cretaceous,"VOLCANIC SANDSTONE, FELSIC ASH-FLOW TUFFS, RHYOLITE, AND RHYODACITE FLOWS (Upper? Jurassic)-Pony Trail Group of Cortez Mountains, Eureka County",,"The area in the Dry Hills (~1/4 of the total area of this unit) is quartz latite; the area in the Cortez Mountains and southern Tuscarora Mountains is as described. The thickness of the unit in the Cortez Mountains and southern Tuscarora Mountains ranges from 3,500 to 10,000 feet thick (Robert and others, 1967). ",NV001,quartz latite,ash-flow tuff,rhyolite; wacke; rhyodacite,NV001 NV010 NV023 ,
NV  ,Kgr,Kgr,Kgr;0,NVKgr;0,0,,Granitic rocks,Cretaceous,GRANITIC ROCKS-Mostly quartz monzonite and granodiorite,,This unit is grouped with NVMzgr in the literature; the two units are the same types of rocks but those included in this unit have their ages confirmed by radiometric dating. Granodiorite is dominant over quartz monzonite in northern Nevada while the opposite is true in southern Nevada.,NV001,granodiorite,quartz monzonite,granite; peraluminous granite,NV001 NV002 NV004 NV005 NV007 NV008 NV009 NV012 NV013 NV016 NV017 NV019 NV020 ,
NV  ,KJim,KJim,KJim;0,NVKJim;0,0,,Igneous and metamorphic complex,Paleozoic sedimentary rocks with Mesozoic intrusive rocks,"IGNEOUS AND METAMORPHIC COMPLEX-Pegmatitic granite and other granitic rocks complexly intermixed with metasedimentary rocks. Considered to be Mesozoic igneous complex intruding lower Paleozoic and possibly Precambrian Z sedimentary rocks. Grades into units shown on map as lower Paleozoic. Ruby Mountains and East Humboldt Range, Elko County",,"This unit is almost entirely early and middle Paleozoic and late Proterozoic metamorphic rocks with a minor amount of Mesozoic gneiss and granitic rocks (Coats, 1987). Relative abundances of marble, schist, quartzite, and gneiss are generally unspecified in literature, especially for the Humboldt Range, though marble is dominant in the Ruby Mountains.",NV001,marble,schist,gneiss; quartzite; granulite; dolostone (dolomite); granite; pegmatite,NV001 NV008 ,
NV  ,Ks,Ks,Ks;0,NVKs;0,0,,"Continental deposits of siltstone, shale, conglomerate, and limestone",Cretaceous,"CONTINENTAL DEPOSITS OF SILTSTONE, SHALE, CONGLOMERATE, AND LIMESTONE-Includes units such as King Lear Formation in Humboldt County, Newark Canyon Formation in Eureka County, Willow Tank Formation and baseline Sandstone in Clark County","King Lear Formation, Newark Canyon Formation, Willow Tank Formation, Baseline Sandstone",,NV001,conglomerate,sandstone,limestone; mudstone; siltstone,NV001 NV002 ,
NV  ,Mc,Mc,Mc;0,NVMc;0,0,,Limestone and minor amounts of dolomite and shale,Mississippian,LIMESTONE AND MINOR AMOUNTS OF DOLOMITE AND SHALE-Includes units such as Rogers Spring and Monte Cristo Limestones,,"The Monte Cristo Limestone is typically divided into five members: the Dawn and Anchor Limestone (the latter with abundant chert), the Bullion Dolomite, and the Arrowhead and Yellowpine Limestone (Cornwall, 1972, Longwell and others, 1965).",NV001,limestone,dolostone (dolomite),chert; shale; sandstone,NV001 NV002 NV003 NV006 NV011 ,
NV  ,MDmc,MDmc,MDmc;0,NVMDmc;0,0,,"Conglomerate, limestone, meta-andesite, phyllite, and shale",Devonian to Mississippian,"CONGLOMERATE, LIMESTONE, META-ANDESITE, PHYLLITE, AND SHALE-Includes Grossman, Banner, Nelson, and Mountain City Formation. Northern Elko County",Diamond A Formation ,"The Banner Formation is about 600 feet thick; the Nelson Formation ranges from 600 feet to possibly 2,500 feet thick; the Grossman is up to 2,000 feet thick. The Mountain City Formation lies conformably over the Nelson Formation but is possibly correlative with the Chainman Shale (see NVMDs) even though it is described here; it ranges from 4,000 feet thick to an estimated original thickness of 10,000 feet (Coats, 1987).",NV001,schist,metavolcanic rock,conglomerate; sandstone; siltstone; phyllite; limestone; diabase,NV001 NV002 NV008 ,
NV  ,PPcd,PPAcd,PPAcd;0,NVPPAcd;0,0,,"Sandy and silty limestone, conglomerate, and siltstone",Pennsylvanian to Late Permian,"SANDY AND SILTY LIMESTONE, CONGLOMERATE, AND SILTSTONE (Upper Pennsylvanian to Upper Permian)-Includes units such as Strathearn Formation of Dott (1955) and Buckskin Mountain, Beacon Flat, and Carlin Canyon Formations of Dott (1955)","Garden Valley Formation, Carbon Ridge Formation","The Garden Valley Formation ranges from 2,700 to 5,000 feet thick (Roberts and others, 1967). Roberts and others, 1967 also reports that, in the Diamond Mountains, the Carbon Ridge Formation is 1,500 to 1,750 feet thick; Hose and Blake, 1976, report that it ranges from 1,400 to 2,300 feet thick. The Strathearn Formation ranges from 1,200 to 2,000 feet thick; the Buckskin Mountain Formation is about 1,200 feet thick; the Beacon Flat Formation is about 2,800 feet thick (Coats, 1987).",NV001,limestone,conglomerate,siltstone; sandstone; chert,NV001 NV002 NV007 NV008 NV010 NV013 ,
